Date,Location,Dead,Injured,Total,Description
"May 30, 2019","Robbins, Illinois",0,5,5,Five people were wounded after a vehicle pulled up to a large gathering and opened fire.[167]
"May 31, 2019","Virginia Beach, Virginia",13[n 1],4,17,Virginia Beach shooting: A gunman killed 12 people and injured four others at a city public works building. The gunman died at the scene after being shot by police.[165][166]
"June 1, 2019","Portsmouth, Virginia",1,3,4,One person was killed and three were critically injured in an overnight shooting.[159]
"June 1, 2019","Chicago, Illinois",0,4,4,An adult male and three teenagers were wounded in a shooting in the Austin community of Chicago.[160]
"June 1, 2019","Chicago, Illinois",0,4,4,Four men were wounded in two separate locations nearNorthwestern University'sGold Coast campus.[161]
"June 1, 2019","Atlanta, Georgia",0,5,5,Police discovered three individuals wounded after responding to a shooting; an additional two were transported via personal vehicles to the hospital.[162]
"June 1, 2019","Macon, Georgia",0,4,4,Three men and a woman were injured after a suspect opened fire at a block party.[163]
"June 1, 2019","Allendale, South Carolina",0,5,5,Five men were wounded in a shooting at a car wash.[164]
"June 5, 2019","Santa Rosa, California",0,4,4,"A teenager opened fire at a soccer park, wounding an 11-year-old boy and three others.[158]"
"June 6, 2019","Chicago, Illinois",1,3,4,One man was killed and three others wounded when a secondary vehicle pulled up next to vehicle and opened fire on Lake Shore Drive.[157]
"June 7, 2019","Austin, Texas",0,5,5,"Five people were taken to the hospital after the suspect fired shots at the ground, indirectly wounding them.[156]"
"June 8, 2019","White Swan, Washington",5,0,5,Five people were killed after the perpetrator opened fire on theYakama Indian Reservation.[153][154]
"June 8, 2019","Chicago, Illinois",0,4,4,Four people were wounded in the Humbdolt neighborhood after an altercation with the suspect.[155]
"June 9, 2019","Henning, Tennessee",1,3,4,One was killed and three others were injured in a shooting at a nightclub.[150]
"June 9, 2019","Buffalo, New York",0,4,4,Four people were injured in a shooting after a dispute.[151]
"June 9, 2019","Cleveland, Ohio",1,3,4,"One person was killed and three wounded, after the perpetrator opened fire on a crowd gathered in Kerruish Park.[152]"
"June 11, 2019","Savannah, Georgia",2,2,4,Police responded to a scene and discovered two men deceased and two others injured.[148]
"June 11, 2019","Aurora, Colorado",0,4,4,Four people were wounded in an overnight shooting; the victims were self-transported to the hospital for treatment.[149]
"June 12, 2019","Charlotte, North Carolina",1,3,4,An adult male was killed at a party in a rentedAirbnb; a teenager and two other adults were injured.[147]
"June 15, 2019","Shreveport, Louisiana",0,4,4,Four people were wounded in a drive-by shooting outside of a nightclub.[145]
"June 15, 2019","West Des Moines, Iowa",4,0,4,"Three relatives, two children and two adults, were found dead from gunshot wounds in a house.[146]"
"June 16, 2019","Philadelphia, Pennsylvania",1,7,8,One person was killed and seven were injured at a graduation party. All of the victims are between 15 and 17 years of age.[142]
"June 16, 2019","Louisville, Kentucky",1,6,7,Five men and two women were discovered shot near a liquor store by police. One of the men later died at the hospital.[143]
"June 16, 2019","Des Moines, Iowa",0,6,6,Six people were shot in a drive-by shooting while standing in the street after a party.[144]
"June 17, 2019","San Antonio, Texas",0,4,4,"Four people were injured from gunfire, after getting into an altercation with another motorist.[140]"
"June 17, 2019","Memphis, Tennessee",0,5,5,Five people were wounded in the parking lot of an apartment complex.[141]
"June 18, 2019","Newark, New Jersey",1,6,7,One man was killed and six others were injured after gunfire broke out in two separate locations in the downtown area.[139]
"June 20, 2019","Allentown, Pennsylvania",0,10,10,Ten people were injured from gunfire outside of a nightclub.[138]
"June 21, 2019","Saginaw, Michigan",1,3,4,"Four people were shot, one fatally, at a house on the city's west side.[135]"
"June 21, 2019","Richmond, California",0,5,5,Five people were wounded in a drive-by shooting.[136]
"June 21, 2019","Chicago, Illinois",0,4,4,"Four people, including a pregnant woman, were wounded in a shooting outside of theParkway Garden Homes apartment complex.[137]"
"June 22, 2019","Philadelphia, Pennsylvania",0,4,4,Four men were wounded by gunfire in an overnight shooting.[132]
"June 22, 2019","Hampton, Virginia",0,4,4,Two adults and two children were injured in a shooting at Buckroe Beach.[133]
"June 22, 2019","Baltimore, Maryland",1,4,5,"A gunman opened fire on a crowd, killing a 19-year-old man and wounding four others.[134]"
"June 23, 2019","San Jose, California",5[n 1],0,5,A four-hour standoff ends after a man kills four people then himself.[127]
"June 23, 2019","Abbeville, South Carolina",3,1,4,Two people were killed and two were wounded in a shooting at an apartment complex. One of the victims later died at the hospital from their injuries.[128]
"June 23, 2019","Columbus, Ohio",0,5,5,Five people were wounded in a drive-by shooting outside of a local motorcycle club.[129]
"June 23, 2019","La Jolla, California",1,3,4,One person was killed and three others were injured after a drive-by shooting at a party.[130]
"June 23, 2019","South Bend, Indiana",1,10,11,One person was killed and ten were injured after the perpetrator opened fire on a patrons at a local bar.[131]
"June 26, 2019","Akron, Ohio",1,3,4,"One man was killed and three others, including a boy, were wounded in a home invasion.[126]"
"June 27, 2019","Atlanta, Georgia",0,7,7,"Seven people were wounded, two critically, in a drive-by shooting in theOld Fourth Ward neighborhood.[125]"
"June 28, 2019","Atlanta, Georgia",0,7,7,Seven people were wounded during a drive-by shooting involving two vehicles.[122]
"June 28, 2019","Paterson, New Jersey",0,4,4,Four people were wounded by gunfire that erupted on a street.[123]
"June 28, 2019","Hamden, Connecticut",0,5,5,"Five people were wounded in a shooting, after police break up a house party.[124]"
"June 29, 2019","Baton Rouge, Louisiana",0,7,7,Seven people were injured in a shooting outside of a night club after a fight escalated.[119]
"June 29, 2019","Hartford, Connecticut",0,4,4,"Police discovered two people wounded, while an additional two were self-transported to area hospitals.[120]"
"June 29, 2019","Chicago, Illinois",0,5,5,Five people were wounded after gunfire broke out at a gathering in the Near West Side neighborhood.[121]
"June 30, 2019","Oakland, California",0,4,4,A 12-year-old boy and two adults were injured in a shooting outside of an apartment complex.[115]
"June 30, 2019","Yucaipa, California",0,5,5,Five people were wounded after a fight escalated in a mobile home park after a BBQ.[116]
"June 30, 2019","Dallas, Texas",2,2,4,Two teenagers were killed and two were wounded in a drive-by shooting near a playground.[117]
"June 30, 2019","Bay Shore, New York",0,6,6,Six people were shot at a house party.[118]
"July 1, 2019","Baltimore, Maryland",0,4,4,"Four women were injured after a suspect opened fire on them, two were discovered by police, the others privately entered the hospital.[114]"
"July 2, 2019","Washington Park, Illinois",0,4[n 1],4,"A 16-year-old, 12-year-old and an adult were injured when an argument over fireworks escalated. The perpetrator was shot by a by-stander.[112]"
"July 2, 2019","Wellston, Missouri",0,4,4,Four people were injured in a drive-by shooting just before midnight near a local food store.[113]
"July 3, 2019","Katy, Texas",2[n 1],3,5,The perpetrator shot and killed his sister and three others at a housewarming party. He later died at a hospital.[111]
"July 4, 2019","Chicago, Illinois",1,3,4,"One man was killed and three were wounded, after a suspect opened fire from a vehicle.[106]"
"July 4, 2019","Los Angeles, California",0,4,4,"Four people, including a 15-year-old girl were wounded, after two perpetrators opened fire in theHistoric South-Central neighborhood.[107][108]"
"July 4, 2019","Rockford, Illinois",0,4,4,Four people were wounded after an argument escalated.[109]
"July 4, 2019","Fresno, California",1,3,4,One person was killed and three were injured after gunfire erupted at an Independence Day celebration.[110]
"July 5, 2019","Brooklyn, New York",0,4,4,A gunman opened fire — injuring four people in theEast New York neighborhood.[101]
"July 5, 2019","Chicago, Illinois",0,5,5,Five people were wounded in a shooting in Chicago's Woodlawn community.[102]
"July 5, 2019","Reno, Nevada",1,3,4,One person died and three were wounded in a shooting.[103]
"July 5, 2019","Gravette, Arkansas",4[n 1],0,4,Four people were found deceased at a home in an apparent murder–suicide.[104]
"July 5, 2019","Boston, Massachusetts",0,6,6,Six people were wounded in Boston's Roxbury neighborhood.[105]
"July 6, 2019","San Jose, California",0,4,4,"Four people were discovered wounded by police, who responded to a shots fired call; the victims had driven away from the initial scene.[98]"
"July 6, 2019","St. Clair Shores, Michigan",2[n 1],2,4,"After a dispute over fireworks, a man shot into a crowd and injured a 12-year-old child and a woman, then barricaded himself in his home. Police discovered him and a woman deceased in the home.[99]"
"July 6, 2019","Charlotte, North Carolina",0,4,4,Four people were shot in a McDonald's parking lot after a dispute involving a rideshare vehicle.[100]
"July 7, 2019","Flint, Michigan",2,4,6,"Six people were shot, two fatally, while in a car at a gas station. Police are looking for two suspects.[94]"
"July 7, 2019","Wichita, Kansas",0,4,4,Four people were wounded in a shooting after a potential argument escalated.[95]
"July 7, 2019","Chicago, Illinois",0,4,4,Four people were wounded in an early morning shooting in Chicago's Englewood neighborhood.[96]
"July 7, 2019","Albuquerque, New Mexico",0,4,4,Four people were discovered wounded in a parking lot in the downtown area.[97]
"July 8, 2019","Manson, North Carolina",2,2,4,"Two people were killed and two children—16 and 10-years-old, were wounded after a domestic dispute escalated.[92]"
"July 8, 2019","Washington DC, District of Columbia",0,4,4,Four perpetrators wounded four men in a shooting outside of a 7-Eleven store.[93]
"July 11, 2019","Houston, Texas",0,4,4,"Four suspects got into a gunfight, wounding four teenagers in a common area at an apartment complex.[91]"
"July 13, 2019","Philadelphia, Pennsylvania",0,7,7,Seven people were wounded in a shooting during a neighborhood basketball game.[89]
"July 13, 2019","Chicago, Illinois",1,4,5,One person was killed and four were wounded in a drive-by shooting in Chicago'sSouth Side.[90]
"July 15, 2019","New Orleans, Louisiana",1,3,4,One person was killed and three were wounded in an apartment complex.[86]
